"一工路","Yigong Rd."
"一中街","Yizhong St."
"一心一路","Yisin 1st Rd."
"一心二路","Yisin 2nd Rd."
"一心北街","Yisin N. St."
"一心西街","Yisin W. St."
"一心東街","Yisin E. St."
"一心南街","Yisin S. St."
"一心街","Yisin St."
"一心新村","Yisin New Village"
"一心路","Yisin Rd."
"一甲路","Yijia Rd."
"一成街","Yicheng St."
"一江街","Yijiang St."
"一坑","Yikeng"
"一坑路","Yikeng Rd."
"一村巷","Yicun Ln."
"一秀","Yisiou"
"一流街","Yiliou St."
"一致街","Yizhi St."
"一善巷","Yishan Ln."
"一結路","Yijie Rd."
"一新一巷","Yisin 1st Ln."
"一新一街","Yisin 1st St."
"一新一街一弄","1st Aly., Yisin 1st St."
"一新一街七弄","7th Aly., Yisin 1st St."
"一新一街二弄","2nd Aly., Yisin 1st St."
"一新一街三弄","3rd Aly., Yisin 1st St."
"一新一街五弄","5th Aly., Yisin 1st St."
"一新一街四弄","4th Aly., Yisin 1st St."
"一新二巷","Yisin 2nd Ln."
"一新二街","Yisin 2nd St."
"一新二街五弄","5th Aly., Yisin 2nd St."
"一壽街","Yishou St."
"一廍路","Yibu Rd."
"一德南路","Yide S. Rd."
"一德街","Yide St."
"一德路","Yide Rd."
"丁子蘭坑","Dingzihlankeng"
"丁台路","Dingtai Rd."
"丁厝街","Dingcuo St."
"七十份","Cishihfen"
"七中路","Cizhong Rd."
"七分坑","Cifenkeng"
"七戶巷","Cihu Ln."
"七古林","Cigulin"
"七甲一街","Cijia 1st St."
"七甲二街","Cijia 2nd St."
"七甲三街","Cijia 3rd St."
"七甲五街","Cijia 5th St."
"七甲街","Cijia St."
"七份路","Cifen Rd."
"七圳路","Cizun Rd."
"七成街","Cicheng St."
"七里溪巷","Cilisi Ln."
"七里橋","Cili Bridge"
"七和一街","Cihe 1st St."
"七和路","Cihe Rd."
"七股","Cigu"
"七星村河背","Hebei, Cising Vil."
"七星巷","Cising Ln."
"七星街","Cising St."
"七星路","Cising Rd."
"七星嶺","Cisingling"
"七座","Cizuo"
"七區","Cicyu"
"七崙仔","Cilunzai"
"七張路","Cizhang Rd."
"七結路","Cijie Rd."
"七結路名進巷","Mingjin Ln., Cijie Rd."
"七雄街","Cisyong St."
"七塊厝","Cikuaicuo"
"七塊路","Cikuai Rd."
"七聖街","Cisheng St."
"七腳川","Cijiaochuan"
"七號巷","Cihao Ln."
"七嘉路","Cijia Rd."
"七寮","Ciliao"
"七寮路","Ciliao Rd."
"七賢一街","Cisian 1st St."
"七賢一路","Cisian 1st Rd."
"七賢二街","Cisian 2nd St."
"七賢二路","Cisian 2nd Rd."
"七賢三路","Cisian 3rd Rd."
"七賢南路","Cisian S. Rd."
"七賢街","Cisian St."
"七賢路","Cisian Rd."
"七瀨仔","Cilaizai"
"九大路","Jiouda Rd."
"九大路河濱一巷","Hebin 1st Ln., Jiouda Rd."
"九大路河濱二巷","Hebin 2nd Ln., Jiouda Rd."
"九分一路","Jioufen 1st Rd."
"九分二路","Jioufen 2nd Rd."
"九分三路","Jioufen 3rd Rd."
"九分子","Jioufenzih"
"九分街","Jioufen St."
"九分路","Jioufen Rd."
"九斗","Jioudou"
"九甲一巷","Jioujia 1st Ln."
"九甲一路","Jioujia 1st Rd."
"九甲七路","Jioujia 7th Rd."
"九甲二巷","Jioujia 2nd Ln."
"九甲二路","Jioujia 2nd Rd."
"九甲三路","Jioujia 3rd Rd."
"九甲五路","Jioujia 5th Rd."
"九甲六路","Jioujia 6th Rd."
"九甲巷","Jioujia Ln."
"九甲路","Jioujia Rd."
"九份","Jioufen"
"九份子大道","Jioufenzih Blvd."
"九份路","Jioufen Rd."
"九份寮","Jioufenliao"
"九如一街","Jiouru 1st St."
"九如一路","Jiouru 1st Rd."
"九如二街","Jiouru 2nd St."
"九如二路","Jiouru 2nd Rd."
"九如三街","Jiouru 3rd St."
"九如三路","Jiouru 3rd Rd."
"九如四路","Jiouru 4th Rd."
"九如街","Jiouru St."
"九如路","Jiouru Rd."
"九如路一段","Sec. 1, Jiouru Rd."
"九如路二段","Sec. 2, Jiouru Rd."
"九如路三段","Sec. 3, Jiouru Rd."
"九成街","Jioucheng St."
"九曲路","Jioucyu Rd."
"九曲路北極巷","Beiji Ln., Jioucyu Rd."
"九江街","Jioujiang St."
"九芎坑","Jioucyongkeng"
"九芎坪","Jioucyongping"
"九芎林","Jioucyonglin"
"九芎根","Jioucyonggen"
"九芎湖","Jioucyonghu"
"九芎街","Jioucyong St."
"九芎路","Jioucyong Rd."
"九芎橋路","Jioucyongciao Rd."
"九車籠","Jiouchelong"
"九里路","Jiouli Rd."
"九和一街","Jiouhe 1st St."
"九和二街","Jiouhe 2nd St."
"九和三街","Jiouhe 3rd St."
"九和五街","Jiouhe 5th St."
"九和六街","Jiouhe 6th St."
"九和路","Jiouhe Rd."
"九明街","Jiouming St."
"九東路","Jioudong Rd."
"九洲路","Jiouzhou Rd."
"九重橋","Jiouchong Bridge"
"九座寮","Jiouzuoliao"
"九清街","Jioucing St."
"九棚路","Jioupeng Rd."
"九棚路大愛巷","Da'ai Ln., Jioupeng Rd."
"九湖","Jiouhu"
"九湖一街","Jiouhu 1st St."
"九湖二街","Jiouhu 2nd St."
"九隆","Jioulong"
"九寮子埔","Jiouliaozihpu"
"九層林巷","Jioucenglin Ln."
"九層嶺","Jioucengling"
"九德街","Jioude St."
"九龍一街","Jioulong 1st St."
"九龍二街","Jioulong 2nd St."
"九龍三街","Jioulong 3rd St."
"九龍六街","Jioulong 6th St."
"九龍東街","Jioulong E. St."
"九龍街","Jioulong St."
"九龍路","Jioulong Rd."
"九龍橫巷","Jioulong Side Ln."
"九讚頭","Jiouzantou"
"二十分","Ershihfen"
"二十份","Ershihfen"
"二十張路","Ershihzhang Rd."
"二仁路一段","Sec. 1, Erren Rd."
"二仁路二段","Sec. 2, Erren Rd."
"二王路","Erwang Rd."
"二本松","Erbensong"
"二甲","Erjia"
"二甲路","Erjia Rd."
"二甲路中心巷","Zhongsin Ln., Erjia Rd."
"二甲路佳美巷","Jiamei Ln., Erjia Rd."
"二份街","Erfen St."
"二圳路","Erzun Rd."
"二庄","Erzhuang"
"二成街","Ercheng St."
"二行一路","Ersing 1st Rd."
"二坑","Erkeng"
"二和街","Erhe St."
"二坡","Erpo"
"二坪","Erping"
"二坪仔","Erpingzai"
"二坪巷","Erping Ln."
"二坪頂","Erpingding"
"二坪路","Erping Rd."
"二房","Erfang"
"二抱路一段","Sec. 1, Erbao Rd."
"二抱路二段","Sec. 2, Erbao Rd."
"二抱路三段","Sec. 3, Erbao Rd."
"二抱路四段","Sec. 4, Erbao Rd."
"二林巷","Erlin Ln."
"二油路","Eryou Rd."
"二空路","Erkong Rd."
"二城巷","Ercheng Ln."
"二城路","Ercheng Rd."
"二美街","Ermei St."
"二苓路","Erling Rd."
"二重港","Erchonggang"
"二重溝","Erchonggou"
"二重溪","Erchongsi"
"二埔","Erpu"
"二崁","Erkan"
"二崁一路","Erkan 1st Rd."
"二崁路","Erkan Rd."
"二格路","Erge Rd."
"二高路","Ergao Rd."
"二港巷","Ergang Ln."
"二湖","Erhu"
"二湖路","Erhu Rd."
"二結路","Erjie Rd."
"二溪路一段","Sec. 1, Ersi Rd."
"二溪路一段大突巷","Datu Ln., Sec. 1, Ersi Rd."
"二溪路一段田中巷","Tianzhong Ln., Sec. 1, Ersi Rd."
"二溪路一段湖西巷","Husi Ln., Sec. 1, Ersi Rd."
"二溪路七段","Sec. 7, Ersi Rd."
"二溪路二段","Sec. 2, Ersi Rd."
"二溪路二段北勢一巷","Beishih 1st Ln., Sec. 2, Ersi Rd."
"二溪路二段北勢二巷","Beishih 2nd Ln., Sec. 2, Ersi Rd."
"二溪路二段北勢三巷","Beishih 3rd Ln., Sec. 2, Ersi Rd."
"二溪路二段北勢四巷","Beishih 4th Ln., Sec. 2, Ersi Rd."
"二溪路二段車店東巷","Chedian E. Ln., Sec. 2, Ersi Rd."
"二溪路二段橋北巷","Ciaobei Ln., Sec. 2, Ersi Rd."
"二溪路二段橋南巷","Ciaonan Ln., Sec. 2, Ersi Rd."
"二溪路三段","Sec. 3, Ersi Rd."
"二溪路大突巷","Datu Ln., Ersi Rd."
"二溪路六段","Sec. 6, Ersi Rd."
"二溪路草一段","Cao Sec. 1, Ersi Rd."
"二溪路草二段","Cao Sec. 2, Ersi Rd."
"二聖一巷","Ersheng 1st Ln."
"二聖一街","Ersheng 1st St."
"二聖一路","Ersheng 1st Rd."
"二聖二巷","Ersheng 2nd Ln."
"二聖二街","Ersheng 2nd St."
"二聖二路","Ersheng 2nd Rd."
"二聖三巷","Ersheng 3rd Ln."
"二聖三街","Ersheng 3rd St."
"二聖街","Ersheng St."
"二聖路","Ersheng Rd."
"二萬平","Erwanping"
"二塹路","Ercian Rd."
"二廍路","Erbu Rd."
"二儀街","Eryi St."
"二寮","Erliao"
"二寮坑","Erliaokeng"
"二擔","Erdan"
"二橋","Erciao"
"二橋街","Erciao St."
"二橋新村","Erciao New Village"
"二鎮","Erzhen"
"二灣","Erwan"
"二鬮路","Erjiou Rd."
"人和一街","Renhe 1st St."
"人和一路","Renhe 1st Rd."
"人和七路","Renhe 7th Rd."
"人和九路","Renhe 9th Rd."
"人和二街","Renhe 2nd St."
"人和二路","Renhe 2nd Rd."
"人和八路","Renhe 8th Rd."
"人和十一路","Renhe 11th Rd."
"人和十二路","Renhe 12th Rd."
"人和三街","Renhe 3rd St."
"人和三路","Renhe 3rd Rd."
"人和中路","Renhe Central Rd."
"人和五路","Renhe 5th Rd."
"人和六路","Renhe 6th Rd."
"人和巷","Renhe Ln."
"人和路","Renhe Rd."
"入船路","Ruchuan Rd."
"八十分","Bashihfen"
"八十尺橋","Bashihchih Bridge"
"八五山","Bawushan"
"八分寮","Bafenliao"
"八分寮路","Bafenliao Rd."
"八斗","Badou"
"八斗街","Badou St."
"八仙一路","Basian 1st Rd."
"八仙二路","Basian 2nd Rd."
"八仙三路","Basian 3rd Rd."
"八仙五路","Basian 5th Rd."
"八仙洞","Basiandong"
"八仙路","Basian Rd."
"八田路一段","Sec. 1, Batian Rd."
"八田路二段","Sec. 2, Batian Rd."
"八田路三段","Sec. 3, Batian Rd."
"八田路三段水廠巷","Shuichang Ln., Sec. 3, Batian Rd."
"八田路三段香榭巷","Xiangxie Ln., Sec. 3, Batian Rd."
"八田路三段堤岸巷","Ti'an Ln., Sec. 3, Batian Rd."
"八田路三段電廠巷","Dianchang Ln., Sec. 3, Batian Rd."
"八田路三段櫻花巷","Yinghua Ln., Sec. 3, Batian Rd."
"八田路四段","Sec. 4, Batian Rd."
"八甲","Bajia"
"八甲路","Bajia Rd."
"八份","Bafen"
"八成街","Bacheng St."
"八老爺","Balaoye"
"八角坑","Bajiaokeng"
"八角林","Bajiaolin"
"八里大道","Bali Blvd."
"八里堆","Baliduei"
"八卦力","Baguali"
"八卦路","Bagua Rd."
"八股","Bagu"
"八股路","Bagu Rd."
"八股路館前一巷","Guancian 1st Ln., Bagu Rd."
"八股路館前七巷","Guancian 7th Ln., Bagu Rd."
"八股路館前九巷","Guancian 9th Ln., Bagu Rd."
"八股路館前二巷","Guancian 2nd Ln., Bagu Rd."
"八股路館前八巷","Guancian 8th Ln., Bagu Rd."
"八股路館前三巷","Guancian 3rd Ln., Bagu Rd."
"八股路館前五巷","Guancian 5th Ln., Bagu Rd."
"八股路館前六巷","Guancian 6th Ln., Bagu Rd."
"八青路","Bacing Rd."
"八桑安","Basang'an"
"八堵路","Badu Rd."
"八張一街","Bazhang 1st St."
"八張二街","Bazhang 2nd St."
"八張巷","Bazhang Ln."
"八張犁","Bazhangli"
"八張街","Bazhang St."
"八連溪","Baliansi"
"八連溪頭","Baliansitou"
"八連路一段","Sec. 1, Balian Rd."
"八連路二段","Sec. 2, Balian Rd."
"八連路三段","Sec. 3, Balian Rd."
"八間路","Bajian Rd."
"八勢一街","Bashih 1st St."
"八勢二街","Bashih 2nd St."
"八勢路","Bashih Rd."
"八勢路一段","Sec. 1, Bashih Rd."
"八煙","Bayan"
"八號巷","Bahao Ln."
"八瑤路","Bayao Rd."
"八寮","Baliao"
"八寮灣","Baliaowan"
"八德一街","Bade 1st St."
"八德一路","Bade 1st Rd."
"八德二街","Bade 2nd St."
"八德二路","Bade 2nd Rd."
"八德三街","Bade 3rd St."
"八德中路","Bade Central Rd."
"八德五街","Bade 5th St."
"八德六街","Bade 6th St."
"八德北路","Bade N. Rd."
"八德四街","Bade 4th St."
"八德西路","Bade W. Rd."
"八德東路","Bade E. Rd."
"八德南路","Bade S. Rd."
"八德巷","Bade Ln."
"八德街","Bade St."
"八德路","Bade Rd."
"八德路一段","Sec. 1, Bade Rd."
"八德路九如巷","Jiouru Ln., Bade Rd."
"八德路二段","Sec. 2, Bade Rd."
"八德路三段","Sec. 3, Bade Rd."
"八德路四段","Sec. 4, Bade Rd."
"八德橫巷","Bade Side Ln."
"八龍路","Balong Rd."
"八櫃","Baguei"
"八寶路","Babao Rd."
"八寶寮","Babaoliao"
"刀石坑","Daoshihkeng"
"力天路","Litian Rd."
"力行一街","Lising 1st St."
"力行一路","Lising 1st Rd."
"力行七路","Lising 7th Rd."
"力行二街","Lising 2nd St."
"力行二路","Lising 2nd Rd."
"力行三街","Lising 3rd St."
"力行三路","Lising 3rd Rd."
"力行五街","Lising 5th St."
"力行五路","Lising 5th Rd."
"力行六路","Lising 6th Rd."
"力行北街","Lising N. St."
"力行四路","Lising 4th Rd."
"力行巷","Lising Ln."
"力行街","Lising St."
"力行路","Lising Rd."
"力行路一段","Sec. 1, Lising Rd."
"力行路二段","Sec. 2, Lising Rd."
"力社路","Lishe Rd."
"力新路","Lisin Rd."
"力學路","Lisyue Rd."
"力霸街","Liba St."
"十一分","Shihyifen"
"十一分路","Shihyifen Rd."
"十一份四","Shihyifensih"
"十一股","Shihyigu"
"十一指厝","Shihyizhicuo"
"十九份","Shihjioufen"
"十二佃路","Shih'erdian Rd."
"十二寮","Shih'erliao"
"十八份","Shihbafen"
"十八重溪","Shihbachongsi"
"十三分","Shihsanfen"
"十三北路","Shihsan N. Rd."
"十三甲","Shihsanjia"
"十三行路","Shihsansing Rd."
"十三東路","Shihsan E. Rd."
"十三南路","Shihsan S. Rd."
"十三巷","13th Ln."
"十三張路","Shihsanzhang Rd."
"十三層","Shihsanceng"
"十五間","Shihwujian"
"十五間尾","Shihwujianwei"
"十五路","15th Rd."
"十五寮","Shihwuliao"
"十六甲","Shihlioujia"
"十六股大道","Shihliougu Blvd."
"十六張","Shihliouzhang"
"十六結路","Shihlioujie Rd."
"十六結路三城巷","Sancheng Ln., Shihlioujie Rd."
"十分街","Shihfen St."
"十分寮","Shihfenliao"
"十四甲","Shihsihjia"
"十四張路","Shihsihzhang Rd."
"十四寮","Shihsihliao"
"十甲北一街","Shihjia N. 1st St."
"十甲北二街","Shihjia N. 2nd St."
"十甲北街","Shihjia N. St."
"十甲東一街","Shihjia E. 1st St."
"十甲東二街","Shihjia E. 2nd St."
"十甲東巷","Shihjia E. Ln."
"十甲東路","Shihjia E. Rd."
"十甲巷","Shihjia Ln."
"十甲路","Shihjia Rd."
"十份","Shihfen"
"十全一街","Shihcyuan 1st St."
"十全一路","Shihcyuan 1st Rd."
"十全二路","Shihcyuan 2nd Rd."
"十全三路","Shihcyuan 3rd Rd."
"十全西街","Shihcyuan W. St."
"十全東街","Shihcyuan E. St."
"十全街","Shihcyuan St."
"十全路","Shihcyuan Rd."
"十字路","Shihzih Rd."
"十足路","Shihzu Rd."
"十股","Shihgu"
"十股路","Shihgu Rd."
"十股寮","Shihguliao"
"十勇街","Shihyong St."
"十美街","Shihmei St."
"十美路","Shihmei Rd."
"十茂路","Shihmao Rd."
"十班坑","Shihbankeng"
"十智街","Shihzhi St."
"十塊厝","Shihkuaicuo"
"十號路","Shihhao Rd."
"十寮","Shihliao"
"十寮坑","Shihliaokeng"
"十興一街","Shihsing 1st St."
"十興二街","Shihsing 2nd St."
"十興三街","Shihsing 3rd St."
"十興五街","Shihsing 5th St."
"十興路","Shihsing Rd."
"十興路一段","Sec. 1, Shihsing Rd."
"十興路二段","Sec. 2, Shihsing Rd."
"卜溪部落","Busibuluo"
"三十二份","Sanshih'erfen"
"三十六崙","Sanshihlioulun"
"三十甲路","Sanshihjia Rd."
"三十股路","Sanshihgu Rd."
"三千路","3000th Rd."
"三叉坑","Sanchakeng"
"三山","Sanshan"
"三山一巷","Sanshan 1st Ln."
"三山二巷","Sanshan 2nd Ln."
"三山三巷","Sanshan 3rd Ln."
"三山四巷","Sanshan 4th Ln."
"三山街","Sanshan St."
"三山路","Sanshan Rd."
"三中路","Sanzhong Rd."
"三元一街","Sanyuan 1st St."
"三元二街","Sanyuan 2nd St."
"三元三街","Sanyuan 3rd St."
"三元街","Sanyuan St."
"三元路","Sanyuan Rd."
"三元路一段","Sec. 1, Sanyuan Rd."
"三元路二段","Sec. 2, Sanyuan Rd."
"三公路","Sangong Rd."
"三友新村","Sanyou New Village"
"三戶巷","Sanhu Ln."
"三月路","Sanyue Rd."
"三月路大愛巷","Da'ai Ln., Sanyue Rd."
"三月路四平巷","Sihping Ln., Sanyue Rd."
"三水街","Sanshuei St."
"三水源","Sanshueiyuan"
"三水源南巷","Sanshueiyuan S. Ln."
"三爪子坑路","Sanzhuazihkeng Rd."
"三爪子坑路正貿新村","Zhengmao New Village, Sanzhuazihkeng Rd."
"三爪子坑路民享新村","Minsiang New Village, Sanzhuazihkeng Rd."
"三爪子坑路國中新邨","Guozhong New Village, Sanzhuazihkeng Rd."
"三仙路","Sansian Rd."
"三仙路德美巷","Demei Ln., Sansian Rd."
"三台","Santai"
"三央街","Sanyang St."
"三平路","Sanping Rd."
"三正路","Sanzheng Rd."
"三民","Sanmin"
"三民一巷","Sanmin 1st Ln."
"三民一街","Sanmin 1st St."
"三民一路","Sanmin 1st Rd."
"三民二巷","Sanmin 2nd Ln."
"三民二街","Sanmin 2nd St."
"三民二路","Sanmin 2nd Rd."
"三民北路","Sanmin N. Rd."
"三民市場一巷","Ln. 1, Sanmin Market"
"三民市場二巷","Ln. 2, Sanmin Market"
"三民市場三巷","3rd Ln., Sanmin Market"
"三民西巷","Sanmin W. Ln."
"三民西路","Sanmin W. Rd."
"三民西路二段","Sec. 2, Sanmin W. Rd."
"三民東街","Sanmin E. St."
"三民東路","Sanmin E. Rd."
